group,Time_min,AvgActivity
002_N2_ETOH_OAP,5175,15
002_N2_ETOH_OAP,5190,14
002_N2_ETOH_OAP,5205,16
002_N2_ETOH_OAP,5220,16
002_N2_ETOH_OAP,5235,16
002_N2_ETOH_OAP,5250,21
002_N2_ETOH_OAP,5265,15
002_N2_ETOH_OAP,5280,15
002_N2_ETOH_OAP,5295,25
002_N2_ETOH_OAP,5310,18
002_N2_ETOH_OAP,5325,21
002_N2_ETOH_OAP,5340,20
002_N2_ETOH_OAP,5355,18
003_N2_RV_OAP,195,89
003_N2_RV_OAP,210,107
003_N2_RV_OAP,225,101
003_N2_RV_OAP,240,118
003_N2_RV_OAP,255,117
003_N2_RV_OAP,270,105
003_N2_RV_OAP,285,108
003_N2_RV_OAP,300,107
003_N2_RV_OAP,315,106
003_N2_RV_OAP,330,112
003_N2_RV_OAP,345,104
003_N2_RV_OAP,360,100
003_N2_RV_OAP,375,112
003_N2_RV_OAP,390,117
003_N2_RV_OAP,405,136
003_N2_RV_OAP,420,134
003_N2_RV_OAP,435,118
003_N2_RV_OAP,450,117
003_N2_RV_OAP,465,113
003_N2_RV_OAP,480,113
003_N2_RV_OAP,495,101
003_N2_RV_OAP,510,104
003_N2_RV_OAP,525,94
003_N2_RV_OAP,540,71
003_N2_RV_OAP,555,76
003_N2_RV_OAP,570,93
003_N2_RV_OAP,585,78
003_N2_RV_OAP,600,79
003_N2_RV_OAP,615,84
003_N2_RV_OAP,630,96
003_N2_RV_OAP,645,92
003_N2_RV_OAP,660,101
003_N2_RV_OAP,675,85
003_N2_RV_OAP,690,95
003_N2_RV_OAP,705,96
003_N2_RV_OAP,720,91
003_N2_RV_OAP,735,102
003_N2_RV_OAP,750,88
003_N2_RV_OAP,765,98
003_N2_RV_OAP,780,108
003_N2_RV_OAP,795,98
003_N2_RV_OAP,810,94
003_N2_RV_OAP,825,86
003_N2_RV_OAP,840,87
003_N2_RV_OAP,855,87
003_N2_RV_OAP,870,81
003_N2_RV_OAP,885,82
003_N2_RV_OAP,900,77
003_N2_RV_OAP,915,86
003_N2_RV_OAP,930,93
003_N2_RV_OAP,945,106
003_N2_RV_OAP,960,87
003_N2_RV_OAP,975,98
003_N2_RV_OAP,990,84
003_N2_RV_OAP,1005,95
003_N2_RV_OAP,1020,96
003_N2_RV_OAP,1035,99
